"3C84","B0316+413",     1,37,41,33,09,41
"0528+134","B0528+134", 5,30,56,13,31,55
"0716+714","B0716+714", 7,21,53,71,20,36
"OJ248","B0827+243",    8,30,52,24,10,60
"OJ287","B0851+202",    8,54,48,20,6,30
"Mark421","BB1101+384", 11,4,27,38,12,32
"4C29.45","B1156+295",  11,59,31,29,14,44
"PKS1222+216","B1222+216",  12,24,54,21,22,47
"3C279","B1253-055",    12,56,11,-5,47,21
"PKS1413+135","B1413+135",  14,15,58,13,20,24
"PKS1510-089","B1510-089",  15,12,51,-9,5,59
